date,open,high,low,close,change,volume
23 Jun 2021,106.03,107.00,106.02,106.52,0.43,0.41
22 Jun 2021,106.00,106.60,105.95,106.09,-0.18,-0.17
21 Jun 2021,106.52,106.89,106.00,106.27,-0.66,-0.62
18 Jun 2021,106.10,107.15,106.01,106.93,0.83,0.78
17 Jun 2021,106.61,106.62,106.00,106.10,-0.52,-0.49
16 Jun 2021,106.16,107.10,106.15,106.62,0.39,0.37
15 Jun 2021,105.20,106.50,105.17,106.23,1.07,1.02
14 Jun 2021,107.74,107.74,105.00,105.16,-1.66,-1.55
11 Jun 2021,105.95,107.45,105.68,106.82,1.14,1.08
10 Jun 2021,105.00,106.15,104.60,105.68,1.08,1.03
09 Jun 2021,107.85,108.60,107.81,108.10,0.14,0.13
08 Jun 2021,107.95,108.25,107.46,107.96,0.22,0.20
07 Jun 2021,107.75,108.30,107.40,107.74,0.21,0.20
04 Jun 2021,107.65,107.90,107.20,107.53,0.39,0.36
03 Jun 2021,108.29,108.29,107.00,107.14,-0.79,-0.73
02 Jun 2021,107.71,108.80,107.71,107.93,-0.15,-0.14
01 Jun 2021,107.55,108.30,107.39,108.08,0.69,0.64
31 May 2021,108.25,108.85,106.51,107.39,-0.53,-0.49
28 May 2021,106.50,108.00,106.50,107.92,1.56,1.47
27 May 2021,107.30,108.45,105.50,106.36,-1.10,-1.02
26 May 2021,108.60,109.00,107.26,107.46,-1.34,-1.23
25 May 2021,109.00,109.10,108.50,108.80,-0.24,-0.22
24 May 2021,109.40,109.40,108.50,109.04,0.06,0.06
21 May 2021,108.80,109.00,108.50,108.98,0.04,0.04
20 May 2021,108.36,109.00,108.35,108.94,0.01,0.01
19 May 2021,109.50,109.50,108.55,108.93,-0.47,-0.43
18 May 2021,108.99,109.50,108.90,109.40,0.15,0.14
17 May 2021,108.00,110.20,107.40,109.25,1.24,1.15
06 May 2021,108.00,108.25,107.00,108.01,0.01,0.01
05 May 2021,107.50,108.10,107.50,108.00,0.52,0.48
04 May 2021,106.15,107.60,105.65,107.48,1.33,1.25
03 May 2021,105.50,106.30,104.60,106.15,0.82,0.78
30 Apr 2021,105.00,106.25,104.76,105.33,0.29,0.28
29 Apr 2021,106.39,106.39,105.00,105.04,-0.30,-0.28
28 Apr 2021,104.00,106.05,104.00,105.34,1.29,1.24
27 Apr 2021,105.01,106.30,103.75,104.05,-0.73,-0.70
26 Apr 2021,103.05,105.99,103.03,104.78,1.55,1.50
23 Apr 2021,103.50,104.50,102.80,103.23,-0.31,-0.30
22 Apr 2021,104.00,104.65,103.25,103.54,-0.41,-0.39
21 Apr 2021,105.50,105.50,103.50,103.95,-1.38,-1.31
20 Apr 2021,105.15,106.00,104.80,105.33,0.67,0.64
19 Apr 2021,106.73,106.73,104.00,104.66,-1.38,-1.30
16 Apr 2021,106.48,106.50,106.00,106.04,-0.06,-0.06
15 Apr 2021,105.30,106.48,105.00,106.10,0.79,0.75
14 Apr 2021,104.49,105.78,104.15,105.31,1.18,1.13
13 Apr 2021,103.50,104.54,103.49,104.13,0.31,0.30
12 Apr 2021,102.35,103.99,102.35,103.82,1.47,1.44
09 Apr 2021,102.70,103.00,102.00,102.35,-0.12,-0.12
08 Apr 2021,102.50,104.00,101.75,102.47,0.72,0.71
07 Apr 2021,104.30,104.30,101.50,101.75,-2.15,-2.07
06 Apr 2021,103.89,104.00,103.05,103.90,0.71,0.69
05 Apr 2021,104.60,104.50,103.00,103.19,-0.63,-0.61
02 Apr 2021,105.25,105.25,103.75,103.82,-0.74,-0.71
01 Apr 2021,104.45,106.25,104.20,104.56,0.07,0.07
31 Mar 2021,105.50,105.70,103.75,104.49,-0.63,-0.60
30 Mar 2021,104.72,105.75,104.01,105.12,1.29,1.24
29 Mar 2021,105.00,105.00,103.75,103.83,-1.17,-1.11
26 Mar 2021,104.50,105.47,104.39,105.00,0.45,0.43
25 Mar 2021,105.75,105.75,104.50,104.55,-0.52,-0.49
24 Mar 2021,104.50,105.47,104.50,105.07,0.38,0.36
22 Mar 2021,104.26,105.10,104.00,104.69,-0.09,-0.09
19 Mar 2021,105.50,106.00,104.50,104.78,-1.03,-0.97
18 Mar 2021,104.95,106.20,104.51,105.81,0.95,0.91
17 Mar 2021,104.30,105.15,104.15,104.86,0.67,0.64
16 Mar 2021,104.49,104.49,102.01,104.19,0.27,0.26
15 Mar 2021,104.00,104.99,103.25,103.92,0.49,0.47
12 Mar 2021,102.50,104.00,102.10,103.43,1.37,1.34
11 Mar 2021,103.90,103.90,101.25,102.06,-1.25,-1.21
10 Mar 2021,105.60,105.60,102.75,103.31,-1.24,-1.19
09 Mar 2021,109.00,109.50,107.50,107.95,-1.02,-0.94
08 Mar 2021,110.50,110.50,108.75,108.97,-0.38,-0.35
05 Mar 2021,109.00,109.90,108.50,109.35,0.53,0.49
04 Mar 2021,109.00,109.85,108.51,108.82,-1.40,-1.27
03 Mar 2021,110.89,110.89,110.00,110.22,-0.10,-0.09
02 Mar 2021,110.85,110.85,109.75,110.32,-0.29,-0.26
01 Mar 2021,110.50,110.97,109.50,110.61,0.16,0.14
26 Feb 2021,109.50,110.97,109.00,110.45,1.14,1.04
25 Feb 2021,109.00,109.50,109.00,109.31,0.45,0.41
24 Feb 2021,109.01,109.50,108.50,108.86,-0.42,-0.38
23 Feb 2021,109.30,109.49,108.80,109.28,-0.13,-0.12
22 Feb 2021,109.49,109.90,108.25,109.41,0.27,0.25
19 Feb 2021,109.01,109.50,108.75,109.14,0.11,0.10
18 Feb 2021,109.85,109.85,109.00,109.03,-0.60,-0.55
17 Feb 2021,109.00,110.50,109.00,109.63,1.04,0.96
16 Feb 2021,108.00,108.90,107.91,108.59,0.61,0.56
15 Feb 2021,108.70,109.00,107.89,107.98,-0.44,-0.41
12 Feb 2021,109.00,109.00,108.05,108.42,-0.18,-0.17
11 Feb 2021,109.03,109.60,108.25,108.60,-0.60,-0.55
10 Feb 2021,109.95,110.15,109.00,109.20,-0.31,-0.28
09 Feb 2021,110.00,110.44,109.02,109.51,0.11,0.10
08 Feb 2021,110.98,111.47,109.00,109.40,-1.61,-1.45
04 Feb 2021,110.98,111.20,110.65,111.01,0.47,0.43
03 Feb 2021,110.45,111.72,109.85,110.54,0.29,0.26
02 Feb 2021,110.50,110.50,109.50,110.25,0.22,0.20
01 Feb 2021,110.30,110.80,109.50,110.03,-0.08,-0.07
29 Jan 2021,111.97,112.75,110.00,110.11,-1.34,-1.20
28 Jan 2021,113.90,115.00,111.00,111.45,-2.23,-1.96
27 Jan 2021,112.45,113.97,112.20,113.68,1.43,1.27
26 Jan 2021,112.15,112.75,111.60,112.25,0.23,0.21
25 Jan 2021,111.25,112.50,111.00,112.02,1.07,0.96
22 Jan 2021,111.40,111.60,110.75,110.95,-0.43,-0.39
21 Jan 2021,110.50,111.75,110.50,111.38,-0.01,-0.01
20 Jan 2021,111.25,111.50,110.25,111.39,-0.35,-0.31
19 Jan 2021,111.20,112.01,109.70,111.74,0.71,0.64
18 Jan 2021,111.01,112.00,110.86,111.03,-0.16,-0.14
15 Jan 2021,111.90,111.90,110.90,111.19,-0.08,-0.07
14 Jan 2021,111.65,111.80,110.25,111.27,-0.38,-0.34
13 Jan 2021,112.19,112.19,111.30,111.65,-0.12,-0.11
12 Jan 2021,112.50,112.55,111.32,111.77,-0.61,-0.54
11 Jan 2021,112.50,112.95,111.75,112.38,0.43,0.38
08 Jan 2021,112.50,113.62,111.40,111.95,-1.04,-0.92
07 Jan 2021,110.95,113.45,110.89,112.99,2.33,2.11
06 Jan 2021,110.00,111.20,110.00,110.66,-0.03,-0.03
05 Jan 2021,109.99,110.99,109.75,110.69,0.25,0.23
04 Jan 2021,109.45,111.08,109.17,110.44,1.27,1.16
01 Jan 2021,108.94,110.65,108.60,109.17,0.67,0.62
31 Dec 2020,108.49,110.00,108.01,108.50,0.22,0.20
30 Dec 2020,108.18,108.49,107.60,108.28,0.60,0.56
29 Dec 2020,109.30,109.45,107.50,107.68,-1.30,-1.19
28 Dec 2020,108.85,109.30,108.50,108.98,0.18,0.17
24 Dec 2020,109.00,109.90,108.50,108.80,-0.35,-0.32
23 Dec 2020,109.24,111.20,109.00,109.15,-0.60,-0.55
22 Dec 2020,108.50,110.15,108.01,109.75,1.00,0.92
21 Dec 2020,108.21,109.00,107.56,108.75,0.57,0.53
18 Dec 2020,108.10,109.22,107.99,108.18,-0.23,-0.21
17 Dec 2020,108.25,109.00,107.01,108.41,0.44,0.41
16 Dec 2020,107.00,109.45,107.00,107.97,0.72,0.67
15 Dec 2020,106.49,108.55,105.62,107.25,1.08,1.02
14 Dec 2020,102.40,106.75,102.40,106.17,3.91,3.82
11 Dec 2020,102.00,102.60,101.45,102.26,0.17,0.17
10 Dec 2020,100.25,102.49,100.20,102.09,2.02,2.02
09 Dec 2020,100.16,100.99,99.95,100.07,-0.25,-0.25
08 Dec 2020,101.49,101.65,100.25,100.32,-0.97,-0.96
07 Dec 2020,101.79,101.80,100.75,101.29,-0.17,-0.17
04 Dec 2020,102.35,102.50,101.00,101.46,-0.77,-0.75
03 Dec 2020,102.00,103.00,101.51,102.23,0.95,0.94
02 Dec 2020,104.25,104.60,103.65,103.83,-0.17,-0.16
01 Dec 2020,103.42,104.50,103.42,104.00,0.59,0.57
30 Nov 2020,104.05,105.00,102.60,103.41,-0.71,-0.68
27 Nov 2020,105.35,105.45,104.00,104.12,-0.88,-0.84
26 Nov 2020,104.50,105.95,104.25,105.00,0.68,0.65
25 Nov 2020,104.20,104.55,104.00,104.32,0.38,0.37
24 Nov 2020,103.00,104.75,102.90,103.94,0.86,0.83
23 Nov 2020,104.25,104.25,102.50,103.08,-0.70,-0.67
20 Nov 2020,104.06,104.49,103.35,103.78,-0.48,-0.46
19 Nov 2020,104.33,104.79,104.02,104.26,-0.47,-0.45
18 Nov 2020,104.32,104.95,104.20,104.73,0.33,0.32
17 Nov 2020,105.20,105.20,104.25,104.40,-0.71,-0.68
16 Nov 2020,104.89,105.26,104.50,105.11,0.66,0.63
13 Nov 2020,104.50,104.60,104.01,104.45,-0.29,-0.28
12 Nov 2020,105.48,105.48,104.52,104.74,-0.48,-0.46
11 Nov 2020,104.60,105.50,104.49,105.22,0.40,0.38
10 Nov 2020,105.99,106.00,104.40,104.82,-0.31,-0.29
09 Nov 2020,105.00,105.50,104.74,105.13,0.38,0.36
06 Nov 2020,106.00,106.00,104.65,104.75,-0.92,-0.87
05 Nov 2020,104.80,106.49,104.71,105.67,1.01,0.97
04 Nov 2020,105.14,105.54,104.50,104.66,-0.22,-0.21
03 Nov 2020,105.00,105.98,104.25,104.88,0.08,0.08
02 Nov 2020,105.50,106.10,103.90,104.80,-0.84,-0.80
29 Oct 2020,107.55,107.90,105.01,105.64,-2.49,-2.30
28 Oct 2020,108.49,110.60,107.76,108.13,0.01,0.01
27 Oct 2020,108.00,108.75,107.52,108.12,0.22,0.20
26 Oct 2020,108.02,109.10,107.55,107.90,-0.14,-0.13
23 Oct 2020,108.00,108.85,107.52,108.04,-0.48,-0.44
22 Oct 2020,107.99,109.45,107.50,108.52,0.63,0.58
21 Oct 2020,106.50,108.00,106.50,107.89,1.39,1.31
20 Oct 2020,106.25,107.00,105.85,106.50,0.58,0.55
19 Oct 2020,105.75,106.25,105.40,105.92,-0.08,-0.08
16 Oct 2020,106.50,107.25,105.00,106.00,-0.63,-0.59
15 Oct 2020,106.06,107.00,106.05,106.63,0.40,0.38
14 Oct 2020,106.00,106.49,105.49,106.23,0.10,0.09
13 Oct 2020,107.00,107.00,105.75,106.13,-0.63,-0.59
12 Oct 2020,107.10,108.01,106.38,106.76,-0.63,-0.59
09 Oct 2020,106.90,107.90,106.60,107.39,0.45,0.42
08 Oct 2020,105.50,107.50,105.41,106.94,1.80,1.71
07 Oct 2020,105.55,105.90,105.00,105.14,-0.25,-0.24
06 Oct 2020,106.25,106.45,104.40,105.39,-0.61,-0.58
05 Oct 2020,106.55,107.50,105.60,106.00,-1.50,-1.40
02 Oct 2020,107.11,107.97,107.10,107.50,0.00,0.00
01 Oct 2020,107.55,108.30,106.91,107.50,-0.49,-0.45
30 Sep 2020,109.97,109.97,107.51,107.99,-1.21,-1.11
29 Sep 2020,109.00,109.80,108.20,109.20,0.17,0.16
28 Sep 2020,110.11,110.70,108.70,109.03,-1.43,-1.29
25 Sep 2020,109.10,110.75,109.00,110.46,0.47,0.43
24 Sep 2020,109.00,110.10,109.00,109.99,0.95,0.87
23 Sep 2020,109.01,109.65,108.75,109.04,-0.19,-0.17
22 Sep 2020,110.00,110.24,108.75,109.23,-1.13,-1.02
21 Sep 2020,111.60,111.60,110.25,110.36,-1.30,-1.16
18 Sep 2020,110.00,111.98,109.51,111.66,1.76,1.60
17 Sep 2020,110.63,110.95,109.52,109.90,-0.73,-0.66
16 Sep 2020,109.70,111.11,108.75,110.63,0.93,0.85
15 Sep 2020,109.75,110.43,109.50,109.70,0.26,0.24
14 Sep 2020,109.01,111.00,109.00,109.44,-0.06,-0.05
11 Sep 2020,109.23,109.95,108.50,109.50,0.58,0.53
10 Sep 2020,109.85,110.00,108.50,108.92,0.27,0.25
09 Sep 2020,110.20,111.51,110.00,111.40,0.45,0.41
08 Sep 2020,110.95,113.00,110.70,110.95,0.37,0.33
07 Sep 2020,109.25,112.05,109.25,110.58,1.78,1.64
04 Sep 2020,109.50,109.50,108.51,108.80,-0.38,-0.35
03 Sep 2020,108.50,110.20,108.50,109.18,0.81,0.75
02 Sep 2020,108.00,109.80,107.25,108.37,0.50,0.46
01 Sep 2020,108.01,108.40,107.60,107.87,-0.14,-0.13
31 Aug 2020,108.70,108.80,107.95,108.01,-0.70,-0.64
28 Aug 2020,108.00,109.03,108.00,108.71,0.17,0.16
27 Aug 2020,108.20,108.65,108.00,108.54,0.34,0.31
26 Aug 2020,108.80,108.90,107.77,108.20,-0.26,-0.24
25 Aug 2020,108.50,109.25,108.30,108.46,0.13,0.12
24 Aug 2020,109.00,110.89,107.92,108.33,-0.97,-0.89
21 Aug 2020,109.02,110.00,108.50,109.30,0.08,0.07
20 Aug 2020,108.50,110.50,108.02,109.22,0.63,0.58
19 Aug 2020,108.50,108.99,104.00,108.59,0.58,0.54
18 Aug 2020,108.02,108.89,107.71,108.01,0.27,0.25
17 Aug 2020,107.50,108.49,104.49,107.74,0.43,0.40
13 Aug 2020,114.75,114.75,106.15,107.31,-7.23,-6.31
12 Aug 2020,113.00,118.19,113.00,114.54,3.93,3.55
11 Aug 2020,109.11,111.10,109.11,110.61,1.39,1.27
10 Aug 2020,108.98,110.00,108.52,109.22,0.63,0.58
07 Aug 2020,109.25,109.45,108.50,108.59,-0.54,-0.49
06 Aug 2020,109.00,109.90,108.51,109.13,0.34,0.31
05 Aug 2020,109.50,109.96,108.60,108.79,-0.83,-0.76
04 Aug 2020,111.00,111.00,109.35,109.62,-1.35,-1.22
03 Aug 2020,110.55,111.50,110.42,110.97,0.23,0.21
30 Jul 2020,110.15,111.00,110.00,110.74,0.22,0.20
29 Jul 2020,111.55,112.00,110.25,110.52,-1.24,-1.11
28 Jul 2020,112.75,112.98,111.50,111.76,-0.20,-0.18
27 Jul 2020,111.00,113.50,111.00,111.96,0.98,0.88
24 Jul 2020,111.03,111.55,110.75,110.98,-0.04,-0.04
23 Jul 2020,111.01,111.97,111.00,111.02,0.08,0.07
22 Jul 2020,110.80,111.20,110.01,110.94,-0.15,-0.14
21 Jul 2020,111.25,111.25,110.50,111.09,-0.15,-0.13
20 Jul 2020,111.60,112.00,110.51,111.24,-0.36,-0.32
17 Jul 2020,111.00,111.90,110.50,111.60,0.63,0.57
16 Jul 2020,111.15,111.50,110.65,110.97,-0.17,-0.15
15 Jul 2020,111.50,111.75,110.86,111.14,-0.63,-0.56
14 Jul 2020,111.03,112.00,110.71,111.77,0.45,0.40
13 Jul 2020,110.80,111.72,110.15,111.32,0.80,0.72
10 Jul 2020,110.51,110.95,110.40,110.52,-0.19,-0.17
09 Jul 2020,111.00,111.00,109.90,110.71,-0.18,-0.16
08 Jul 2020,111.10,111.90,110.50,110.89,-0.08,-0.07
07 Jul 2020,110.15,112.10,110.15,110.97,0.00,0.00
06 Jul 2020,112.15,112.15,110.00,110.97,-1.17,-1.04
03 Jul 2020,110.65,112.50,109.25,112.14,1.57,1.42
02 Jul 2020,111.00,112.50,110.01,110.57,-0.82,-0.74
01 Jul 2020,110.01,111.99,110.00,111.39,1.40,1.27
30 Jun 2020,109.10,110.20,109.00,109.99,0.92,0.84
29 Jun 2020,109.48,109.50,107.76,109.07,-0.37,-0.34
26 Jun 2020,106.32,109.55,106.32,109.44,3.66,3.46
25 Jun 2020,106.45,106.55,105.35,105.78,-1.59,-1.48
24 Jun 2020,107.51,107.68,106.75,107.37,-0.15,-0.14
23 Jun 2020,106.12,107.80,106.02,107.52,1.40,1.32
22 Jun 2020,103.31,106.95,103.01,106.12,2.74,2.65
19 Jun 2020,104.01,104.80,103.25,103.38,-0.16,-0.15
18 Jun 2020,104.90,104.95,103.31,103.54,-1.34,-1.28
17 Jun 2020,106.40,106.75,104.45,104.88,-1.09,-1.03
16 Jun 2020,106.90,107.25,105.54,105.97,-1.04,-0.97
15 Jun 2020,107.50,107.70,106.56,107.01,-0.74,-0.69
12 Jun 2020,107.99,108.00,106.50,107.75,0.27,0.25
11 Jun 2020,108.54,110.15,108.50,109.98,1.59,1.47
10 Jun 2020,108.46,108.50,108.00,108.39,0.12,0.11
09 Jun 2020,108.24,108.57,107.90,108.27,0.24,0.22
08 Jun 2020,108.27,108.73,107.80,108.03,-0.24,-0.22
05 Jun 2020,108.49,108.50,108.10,108.27,0.04,0.04
04 Jun 2020,108.25,108.75,107.90,108.23,0.35,0.32
03 Jun 2020,108.05,108.55,105.15,107.88,-0.17,-0.16
02 Jun 2020,109.00,109.10,107.26,108.05,-1.11,-1.02
01 Jun 2020,109.20,109.40,108.70,109.16,-0.36,-0.33
29 May 2020,108.70,110.50,108.00,109.52,0.86,0.79
28 May 2020,108.99,109.00,108.00,108.66,-0.10,-0.09
21 May 2020,108.50,109.50,108.50,108.76,0.26,0.24
20 May 2020,110.20,111.00,108.00,108.50,-1.81,-1.64
19 May 2020,109.62,111.00,109.62,110.31,0.20,0.18
18 May 2020,111.90,112.00,109.90,110.11,-1.45,-1.30
15 May 2020,111.10,111.95,110.50,111.56,0.43,0.39
14 May 2020,111.10,113.00,109.80,111.13,3.10,2.87
13 May 2020,107.95,108.48,107.60,108.03,0.34,0.32
12 May 2020,107.92,108.00,107.00,107.69,0.49,0.46
11 May 2020,106.94,107.98,106.30,107.20,0.26,0.24
08 May 2020,107.60,107.60,106.36,106.94,-0.48,-0.45
07 May 2020,107.92,107.92,107.00,107.42,-0.50,-0.46
06 May 2020,109.00,109.25,107.70,107.92,-1.13,-1.04
05 May 2020,110.00,110.18,108.50,109.05,-1.90,-1.71
04 May 2020,112.40,112.40,109.33,110.95,-0.84,-0.75
30 Apr 2020,110.50,113.00,110.10,111.79,1.78,1.62
29 Apr 2020,107.80,111.00,107.05,110.01,2.94,2.75
28 Apr 2020,107.49,107.80,106.95,107.07,-0.01,-0.01
27 Apr 2020,106.98,109.00,105.00,107.08,0.42,0.39
24 Apr 2020,105.00,107.25,104.90,106.66,1.67,1.59
23 Apr 2020,105.31,105.50,104.50,104.99,-0.32,-0.30
22 Apr 2020,104.25,106.00,102.90,105.31,0.88,0.84
21 Apr 2020,107.50,107.50,103.86,104.43,-4.01,-3.70
20 Apr 2020,107.99,109.25,105.15,108.44,4.51,4.34
17 Apr 2020,102.00,103.93,102.00,103.93,7.25,7.50
16 Apr 2020,95.40,97.50,95.40,96.68,1.24,1.30
15 Apr 2020,95.25,97.00,95.25,95.44,0.91,0.96
14 Apr 2020,94.20,94.90,93.91,94.53,0.38,0.40
13 Apr 2020,94.51,95.26,94.00,94.15,-1.56,-1.63
10 Apr 2020,95.47,95.99,93.03,95.71,1.15,1.22
09 Apr 2020,92.39,94.80,92.02,94.56,3.20,3.50
08 Apr 2020,91.10,92.00,90.60,91.36,0.36,0.40
07 Apr 2020,90.98,91.35,90.25,91.00,0.89,0.99
06 Apr 2020,93.21,93.21,89.99,90.11,-2.85,-3.07
03 Apr 2020,93.77,94.52,92.50,92.96,-0.54,-0.58
02 Apr 2020,93.50,94.00,91.91,93.50,-0.56,-0.60
01 Apr 2020,92.75,95.50,91.05,94.06,1.05,1.13
31 Mar 2020,91.95,93.48,90.00,93.01,2.01,2.21
30 Mar 2020,86.58,91.75,86.00,91.00,2.42,2.73
27 Mar 2020,85.76,89.48,84.75,88.58,2.83,3.30
26 Mar 2020,87.50,89.00,85.00,85.75,0.46,0.54
25 Mar 2020,85.00,87.40,79.55,85.29,2.58,3.12
24 Mar 2020,82.71,83.76,82.71,82.71,-6.70,-7.49
20 Mar 2020,90.00,92.00,86.15,89.41,0.41,0.46
19 Mar 2020,77.50,89.33,77.11,89.00,5.90,7.10
18 Mar 2020,88.50,89.00,82.89,83.10,-6.51,-7.26
17 Mar 2020,88.00,93.00,88.00,89.61,0.82,0.92
16 Mar 2020,95.25,95.60,88.39,88.79,-6.52,-6.84
13 Mar 2020,95.25,97.50,92.99,95.31,-1.05,-1.09
12 Mar 2020,99.98,100.25,95.00,96.36,-3.91,-3.90
11 Mar 2020,101.02,102.50,100.25,100.27,-1.13,-1.11
10 Mar 2020,99.00,101.70,98.77,101.40,2.66,2.69
09 Mar 2020,98.00,100.00,93.88,98.74,-2.20,-2.18
06 Mar 2020,103.89,103.89,99.86,100.94,-2.49,-2.41
05 Mar 2020,104.75,107.00,104.75,106.68,2.47,2.37
04 Mar 2020,103.00,104.50,102.00,104.21,1.29,1.25
03 Mar 2020,105.90,106.00,102.50,102.92,-2.87,-2.71
02 Mar 2020,103.95,106.00,103.95,105.79,2.23,2.15
28 Feb 2020,102.75,104.00,102.75,103.56,1.17,1.14
27 Feb 2020,102.01,103.70,100.50,102.39,-1.08,-1.04
26 Feb 2020,104.50,104.50,103.01,103.47,-0.74,-0.71
25 Feb 2020,104.99,105.85,104.00,104.21,-0.82,-0.78
24 Feb 2020,106.99,106.99,104.25,105.03,-1.98,-1.85
21 Feb 2020,108.00,108.10,106.70,107.01,-1.02,-0.94
20 Feb 2020,108.00,111.35,107.75,108.03,0.05,0.05
19 Feb 2020,106.60,108.25,106.60,107.98,1.34,1.26
18 Feb 2020,106.01,109.99,106.01,106.64,1.14,1.08
17 Feb 2020,105.25,105.87,105.25,105.50,0.05,0.05
14 Feb 2020,105.49,105.75,105.10,105.45,0.11,0.10
13 Feb 2020,105.50,105.74,105.00,105.34,-0.17,-0.16
12 Feb 2020,105.90,106.24,104.98,105.51,-0.02,-0.02
11 Feb 2020,104.80,105.80,104.80,105.53,0.49,0.47
10 Feb 2020,105.92,106.50,104.50,105.04,-0.67,-0.63
07 Feb 2020,105.59,106.00,104.74,105.71,0.50,0.48
06 Feb 2020,105.00,106.00,104.80,105.21,0.66,0.63
04 Feb 2020,104.43,104.99,103.50,104.55,0.12,0.11
03 Feb 2020,104.70,105.50,103.75,104.43,-0.71,-0.68
31 Jan 2020,105.89,106.30,104.69,105.14,-0.37,-0.35
30 Jan 2020,105.99,107.75,104.81,105.51,-0.04,-0.04
29 Jan 2020,106.25,106.75,105.35,105.55,-0.93,-0.87
28 Jan 2020,107.00,107.16,106.25,106.48,-1.10,-1.02
27 Jan 2020,106.50,108.00,105.55,107.58,0.95,0.89
24 Jan 2020,105.10,107.35,105.10,106.63,0.47,0.44
23 Jan 2020,106.78,107.35,105.85,106.16,-0.62,-0.58
22 Jan 2020,105.50,107.60,105.00,106.78,1.32,1.25
21 Jan 2020,106.40,106.40,105.00,105.46,-1.18,-1.11
20 Jan 2020,103.49,107.73,102.65,106.64,3.64,3.53
17 Jan 2020,103.10,103.60,102.75,103.00,-0.06,-0.06
16 Jan 2020,102.00,103.44,102.00,103.06,1.12,1.10
